referencenumber,mainstreet,crossstreet1,requesttype,outcome,daterequested,statusdate,statusdescription,findings,schoolname,visionzero,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
CQ24-0933,58 STREET,57 DRIVE,All-Way Stop,denied,2024-03-18,2024-05-06T00:00:00.000,Study Request Denial,,,No,12,14,1,0,40.721636,-73.91198799999998,data_cb5_signal_studies.csv
CQ24-0875B,METROPOLITAN AVENUE,74 STREET,Left Turn Arrow/Signal,denied,2024-03-13,2024-08-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,28,39,14,0,40.71283,-73.878296,data_cb5_signal_studies.csv
CQ24-0873B,MYRTLE AVENUE,FRESH POND ROAD,Left Turn Arrow/Signal,denied,2024-03-13,2024-08-21T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,28,34,6,0,40.700798,-73.894585,data_cb5_signal_studies.csv
CQ24-0872B,MYRTLE AVENUE,73 PLACE,Left Turn Arrow/Signal,denied,2024-03-13,2024-08-12T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,11,14,1,0,40.702374,-73.87544,data_cb5_signal_studies.csv
CQ24-0798,69 ROAD,74 STREET,All-Way Stop,denied,2024-03-11,2024-04-16T00:00:00.000,Study Request Denial,,,No,4,7,1,0,40.70796,-73.877777,data_cb5_signal_studies.csv
CQ24-0796,69 ROAD,73 PLACE,All-Way Stop,denied,2024-03-11,2024-04-08T00:00:00.000,Study Request Denial,,,No,4,7,1,0,40.70796,-73.877785,data_cb5_signal_studies.csv
CQ24-0736B,BORDEN AVENUE,HAMILTON PLACE,Traffic Signal,denied,2024-02-15,2024-06-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,24,28,3,0,40.72616,-73.90012,data_cb5_signal_studies.csv
CQ24-0613,PLEASANT VIEW STREET,PENELOPE AVENUE,All-Way Stop,denied,2024-02-25,2024-04-16T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.71637375498335,-73.8824929995786,data_cb5_signal_studies.csv
CQ24-0509B,WOODHAVEN BOULEVARD,62 ROAD,Left Turn Arrow/Signal,denied,2024-01-24,2024-06-13T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,23,34,5,0,40.726185,-73.87022,data_cb5_signal_studies.csv
CQ24-0508B,WOODHAVEN BOULEVARD,81 ROAD,Left Turn Arrow/Signal,denied,2024-01-24,2024-06-24T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,31,42,0,0,40.70456,-73.856735,data_cb5_signal_studies.csv
CQ24-0499B,WOODHAVEN BOULEVARD,FURMANVILLE AVENUE,Traffic Signal,denied,2024-01-24,2024-06-12T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,0,0,0,0,40.719641,-73.867168,data_cb5_signal_studies.csv
CQ24-0468,CALDWELL AVENUE,69 LANE,Traffic Signal,denied,2024-02-15,2024-08-21T00:00:00.000,Study Request Denial,,,No,5,6,0,0,40.724839,-73.892293,data_cb5_signal_studies.csv
CQ24-0295B,FRESH POND ROAD,ELIOT AVENUE,Leading Pedestrian Interval,denied,2024-01-30,2024-04-19T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,33,42,7,1,40.714622,-73.90117,data_cb5_signal_studies.csv
CQ24-0154B,GRAND AVENUE,BORDEN AVENUE,Left Turn Arrow/Signal,denied,2024-01-02,2024-02-27T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,34,43,6,0,40.725635,-73.895856,data_cb5_signal_studies.csv
CQ24-0024B,MYRTLE AVENUE,ST NICHOLAS AVENUE,Traffic Signal,denied,2023-12-27,2024-02-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,37,40,11,0,40.69984,-73.90868,data_cb5_signal_studies.csv
CQ23-3634,RUST STREET,FLUSHING AVENUE,All-Way Stop,denied,2023-12-28,2024-02-20T00:00:00.000,Study Request Denial,,WALTER REED PUBLIC SCHOOL 9,No,3,3,2,0,40.71677820600362,-73.9090663474871,data_cb5_signal_studies.csv
CQ23-3628,WOODBINE STREET,64 STREET,All-Way Stop,denied,2023-12-27,2024-03-11T00:00:00.000,Study Request Denial,,,No,29,42,7,0,40.70776,-73.897565,data_cb5_signal_studies.csv
CQ23-3623,PALMETTO STREET,64 STREET,All-Way Stop,denied,2023-12-27,2024-02-20T00:00:00.000,Study Request Denial,,,No,6,9,0,0,40.708942,-73.895872,data_cb5_signal_studies.csv
CQ23-3520B,METROPOLITAN AVENUE,AUBREY AVENUE,Traffic Signal,denied,2024-03-25,2024-03-13T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,66,101,4,0,40.711994,-73.86073,data_cb5_signal_studies.csv
CQ23-3437B,FLUSHING AVENUE,54 STREET,Traffic Signal,denied,2023-11-27,2024-07-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,14,24,2,0,40.7148898460946,-73.91349073239209,data_cb5_signal_studies.csv
CQ23-3380,64 PLACE,74 AVENUE,All-Way Stop,denied,2023-11-28,2024-03-11T00:00:00.000,Study Request Denial,,ANGELITOS GROUP FAMILY DAYCARE,No,24,27,9,0,40.700333,-73.89145,data_cb5_signal_studies.csv
CQ23-3228,72 STREET,CENTRAL AVENUE,Traffic Signal,denied,2023-11-15,2024-01-17T00:00:00.000,Study Request Denial,,,No,8,8,2,0,40.705017,-73.87944,data_cb5_signal_studies.csv
CQ23-3227B,METROPOLITAN AVENUE,73 PLACE,Leading Pedestrian Interval,denied,2023-05-25,2024-01-23T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,23,28,12,0,40.712727,-73.87935,data_cb5_signal_studies.csv
CQ23-3191,73 PLACE,66 ROAD,All-Way Stop,denied,2023-11-13,2024-01-17T00:00:00.000,Study Request Denial,,,No,8,9,4,0,40.715053,-73.881151,data_cb5_signal_studies.csv
CQ23-3093B,FRESH POND ROAD,60 ROAD,Leading Pedestrian Interval,denied,2023-10-26,2024-01-23T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,6,7,1,0,40.716143,-73.901585,data_cb5_signal_studies.csv
CQ23-3043,69 STREET,COOPER AVENUE,All-Way Stop,denied,2023-10-24,2024-06-24T00:00:00.000,Study Request Denial,,REDEEMER LUTHERAN SCHOOL /  WATCH US GROW GROUP FAMILY DAYCARE.,No,24,29,6,0,40.70086,-73.882454,data_cb5_signal_studies.csv
CQ23-3012,69 ROAD,75 STREET,All-Way Stop,denied,2023-10-20,2023-11-20T00:00:00.000,Study Request Denial,,,No,4,7,2,0,40.70844,-73.87621,data_cb5_signal_studies.csv
CQ23-2785B,METROPOLITAN AVENUE,TONSOR STREET,Leading Pedestrian Interval,denied,2023-09-26,2023-12-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,28,36,3,0,40.71306,-73.90879,data_cb5_signal_studies.csv
CQ23-2703,SENECA AVENUE,GREENE AVENUE,All-Way Stop,denied,2023-09-25,2023-11-20T00:00:00.000,Study Request Denial,,P.S. 81Q (ANNEX),No,22,30,4,0,40.705437,-73.91214,data_cb5_signal_studies.csv
CQ23-2677B,FOREST AVENUE,METROPOLITAN AVENUE,Traffic Signal,denied,2023-09-22,2024-06-21T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,19,0,40.712902,-73.90608,data_cb5_signal_studies.csv
CQ23-2646,PUTNAM AVENUE,60 PLACE,All-Way Stop,denied,2023-09-19,2023-12-04T00:00:00.000,Study Request Denial,,,No,9,10,4,0,40.705772,-73.89997,data_cb5_signal_studies.csv
CQ23-2629,PUTNAM AVENUE,60 LANE,Traffic Signal,denied,2023-09-19,2023-10-30T00:00:00.000,Study Request Denial,,,No,9,10,4,0,40.706017,-73.89896,data_cb5_signal_studies.csv
CQ23-2567,ONDERDONK AVENUE,HIMROD STREET,All-Way Stop,denied,2023-09-14,2024-06-24T00:00:00.000,Study Request Denial,,THE JUNGLE DAYCARE / YAMI & GRANDMA'S DAYCARE.,No,19,28,4,0,40.707222,-73.912695,data_cb5_signal_studies.csv
CQ23-2566,68 PLACE,70 AVENUE,All-Way Stop,denied,2023-09-14,2023-11-08T00:00:00.000,Study Request Denial,,PS 91Q- THE RICHARD ARKWRIGHT SCHOOL,No,7,9,1,0,40.705204,-73.885185,data_cb5_signal_studies.csv
CQ23-2561B,58 AVENUE,69 LANE,Traffic Signal,denied,2023-09-12,2023-11-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,4,4,0,0,40.72603245689385,-73.89294966706467,data_cb5_signal_studies.csv
CQ23-2319,66 DRIVE,PLEASANTVIEW STREET,All-Way Stop,denied,2023-08-24,2023-10-24T00:00:00.000,Study Request Denial,,,No,11,15,3,0,40.71343,-73.882295,data_cb5_signal_studies.csv
CQ23-2270,70 AVENUE,60 LANE,Traffic Signal,denied,2023-08-13,2023-10-30T00:00:00.000,Study Request Denial,,ST. MATTHIAS CATHOLIC ACADEMY,No,5,5,1,0,40.702076,-73.89698,data_cb5_signal_studies.csv
CQ23-2252,59 DRIVE,MT OLIVET CRESCENT,Traffic Signal,denied,2023-08-11,2023-10-11T00:00:00.000,Study Request Denial,,REIFF PLAYGROUND,No,8,12,1,0,40.7180192187358,-73.90033759153769,data_cb5_signal_studies.csv
CQ23-2241,JAY AVENUE,65 PLACE,Traffic Signal,denied,2023-08-10,2024-06-24T00:00:00.000,Study Request Denial,,,No,21,26,3,0,40.7267,-73.90034,data_cb5_signal_studies.csv
CQ23-2082,59 STREET,56 DRIVE,All-Way Stop,denied,2023-07-27,2023-10-02T00:00:00.000,Study Request Denial,,,No,6,8,1,0,40.723995,-73.90864,data_cb5_signal_studies.csv
CQ23-2077,52 AVENUE,74 STREET,All-Way Stop,denied,2023-07-27,2023-10-16T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.733852,-73.88845,data_cb5_signal_studies.csv
CQ23-1983,ONDERDONK AVENUE,MENAHAN STREET,All-Way Stop,denied,2023-07-20,2024-06-24T00:00:00.000,Study Request Denial,,PS 81Q ANNEX,No,21,25,2,0,40.705467,-73.90974,data_cb5_signal_studies.csv
CQ23-1958B,GRAND AVENUE,74 STREET,Traffic Signal,denied,2023-07-03,2023-10-06T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,12,12,9,0,40.7301969282631,-73.8875611761351,data_cb5_signal_studies.csv
CQ23-1956B,69 LANE,LONG ISLAND EXPRESSWAY,Traffic Signal,denied,2023-07-03,2023-08-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,3,3,0,0,40.73248713329137,-73.89772588651475,data_cb5_signal_studies.csv
CQ23-1913B,69 PLACE,QUEENS MIDTOWN EXPRESSWAY,Traffic Signal,denied,2023-06-21,2023-08-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,3,3,0,0,40.72618992958762,-73.89237629589852,data_cb5_signal_studies.csv
CQ23-1852B,METROPOLITAN AVENUE,FOREST AVENUE,Traffic Signal,denied,2023-06-14,2023-08-03T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,19,0,40.712902,-73.90608,data_cb5_signal_studies.csv
CQ23-1843,59 AVENUE,64 STREET,All-Way Stop,denied,2023-07-10,2023-09-25T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.719765,-73.900635,data_cb5_signal_studies.csv
CQ23-1727,69 STREET,53 ROAD,Traffic Signal,denied,2023-06-27,2023-10-16T00:00:00.000,Study Request Denial,,,No,6,7,3,0,40.73037303589712,-73.89340819721393,data_cb5_signal_studies.csv
CQ23-1700B,DRY HARBOR ROAD,63 AVENUE,Traffic Signal,denied,2023-06-05,2023-07-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,11,19,1,0,40.72219,-73.87417,data_cb5_signal_studies.csv
CQ23-1689,72 STREET,CALDWELL AVENUE,All-Way Stop,denied,2023-06-21,2023-10-16T00:00:00.000,Study Request Denial,,LADY OF HOPE CATHOLIC ACADEMY,No,4,4,1,0,40.72482,-73.888985,data_cb5_signal_studies.csv
CQ23-1616,61 STREET,56 DRIVE,All-Way Stop,denied,2023-06-13,2023-10-24T00:00:00.000,Study Request Denial,,MARTIN LUTHER SCHOOL,No,7,10,4,0,40.723705,-73.90446,data_cb5_signal_studies.csv
CQ23-1602,67 DRIVE,78 STREET,All-Way Stop,denied,2023-06-10,2023-09-07T00:00:00.000,Study Request Denial,,HAPPY CATERPILLAR CLUBHOUSE CHILDCARE.,No,6,8,2,0,40.71171,-73.8754,data_cb5_signal_studies.csv
CQ23-1576B,COOPER AVENUE,CYPRESS AVENUE,Left Turn Arrow/Signal,denied,2023-05-24,2024-10-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,55,70,12,0,40.694107,-73.89737,data_cb5_signal_studies.csv
CQ23-1519B,DRY HARBOR ROAD,FURMANVILLE AVENUE,Traffic Signal,denied,2023-05-12,2023-07-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,5,6,4,0,40.716160233060826,-73.88138506979227,data_cb5_signal_studies.csv
CQ23-1390,CODY AVENUE,WYCKOFF AVENUE,All-Way Stop,denied,2023-05-11,2023-08-28T00:00:00.000,Study Request Denial,,,No,0,0,0,0,40.68692617586851,-73.88898363304652,data_cb5_signal_studies.csv
CQ23-1381B,DECATUR STREET,FOREST AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-11-16T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,10,0,0,40.698753,-73.89726,data_cb5_signal_studies.csv
CQ23-1380B,FOREST AVENUE,NORMAN STREET,Leading Pedestrian Interval,denied,2023-05-08,2023-08-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,24,33,10,0,40.69966,-73.8988,data_cb5_signal_studies.csv
CQ23-1379B,FOREST AVENUE,GATES AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-08-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,9,5,0,40.707804,-73.903624,data_cb5_signal_studies.csv
CQ23-1375B,FOREST AVENUE,PUTNAM AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-11-20T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,12,3,0,40.705684,-73.902372,data_cb5_signal_studies.csv
CQ23-1372B,FOREST AVENUE,MADISON STREET,Leading Pedestrian Interval,denied,2023-05-08,2023-11-20T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,12,3,0,40.705684,-73.902372,data_cb5_signal_studies.csv
CQ23-1367B,FOREST AVENUE,GROVE STREET,Leading Pedestrian Interval,denied,2023-05-08,2023-08-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,20,29,5,0,40.70913,-73.90436,data_cb5_signal_studies.csv
CQ23-1366B,FOREST AVENUE,GREENE AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-08-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,48,55,17,0,40.71184,-73.905594,data_cb5_signal_studies.csv
CQ23-1349B,CYPRESS AVENUE,COOPER AVENUE,Traffic Signal,denied,2023-03-18,2023-05-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,55,70,12,0,40.694107,-73.89737,data_cb5_signal_studies.csv
CQ23-1269B,69 STREET,JUNIPER VALLEY ROAD,Traffic Signal,denied,2023-05-02,2023-05-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,11,3,0,40.72184062371875,-73.89068898306941,data_cb5_signal_studies.csv
CQ23-1132,77 ROAD,80 STREET,All-Way Stop,denied,2023-04-21,2023-09-07T00:00:00.000,Study Request Denial,,,No,10,10,3,0,40.70608,-73.86882,data_cb5_signal_studies.csv
CQ23-1086,59 STREET,58 DRIVE,All-Way Stop,denied,2023-04-20,2023-06-12T00:00:00.000,Study Request Denial,,,No,6,7,1,0,40.720461,-73.908303,data_cb5_signal_studies.csv
CQ23-1009,78 AVENUE,82 STREET,Traffic Signal,denied,2023-04-12,2024-06-17T00:00:00.000,Study Request Denial,,SACRED HEART CATHOLIC ACADEMY OF GLENDALE,No,10,13,3,0,40.705519,-73.866878,data_cb5_signal_studies.csv
CQ23-0862,73 PLACE,67 DRIVE,All-Way Stop,denied,2023-03-29,2023-05-15T00:00:00.000,Study Request Denial,,,No,3,4,4,0,40.711163,-73.87907,data_cb5_signal_studies.csv
CQ23-0860B,FLUSHING AVENUE,54 STREET,Traffic Signal,denied,2023-03-30,2023-08-09T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,14,24,2,0,40.7148898460946,-73.91349073239209,data_cb5_signal_studies.csv
CQ23-0850,60 STREET,BLEECKER STREET,All-Way Stop,denied,2023-03-30,2023-06-20T00:00:00.000,Study Request Denial,,P.S. 071 FOREST ELEMENTARY,No,18,27,4,0,40.710755,-73.90509199999998,data_cb5_signal_studies.csv
CQ23-0751B,FRESH POND ROAD,BLEECKER STREET,Left Turn Arrow/Signal,denied,2023-03-16,2023-07-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,16,0,40.711903,-73.90019,data_cb5_signal_studies.csv
CQ23-0750B,61 STREET,METROPOLITAN AVENUE,Left Turn Arrow/Signal,denied,2023-03-16,2023-07-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,59,70,17,0,40.712757,-73.90225,data_cb5_signal_studies.csv
CQ23-0611,MYRTLE AVENUE,72 PLACE,Traffic Signal,denied,2023-03-08,2023-08-14T00:00:00.000,Study Request Denial,,,No,12,16,2,0,40.70222,-73.87734,data_cb5_signal_studies.csv
CQ23-0570B,57 AVENUE,74 STREET,Leading Pedestrian Interval,denied,2023-02-16,2024-08-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,10,4,0,40.72861,-73.88721,data_cb5_signal_studies.csv
CQ23-0517,68 AVENUE,64 PLACE,All-Way Stop,denied,2023-02-21,2023-08-07T00:00:00.000,Study Request Denial,,ONCE UPON A TIME DAYCARE AND PRESCHOOL,No,4,4,1,0,40.705956,-73.8936,data_cb5_signal_studies.csv
CQ23-0515,71 PLACE,COOPER AVENUE,All-Way Stop,denied,2023-02-22,2023-03-27T00:00:00.000,Study Request Denial,,PS 91Q RICHARD ARKWRIGHT SCHOOL,No,28,38,9,0,40.702625,-73.8794,data_cb5_signal_studies.csv
CQ23-0477,68 ROAD,60 STREET,All-Way Stop,denied,2023-02-16,2023-04-17T00:00:00.000,Study Request Denial,,,No,14,16,4,0,40.704068,-73.900113,data_cb5_signal_studies.csv
CQ23-0471B,CALDWELL AVENUE,ELIOT AVENUE,Leading Pedestrian Interval,denied,2023-02-09,2024-08-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,26,36,11,0,40.7252623621263,-73.8797865999895,data_cb5_signal_studies.csv
CQ23-0442,OTTO ROAD,68 PLACE,All-Way Stop,denied,2023-02-10,2023-05-15T00:00:00.000,Study Request Denial,,,No,4,5,1,0,40.706154,-73.88555,data_cb5_signal_studies.csv
CQ23-0429B,BORDEN AVENUE,69 STREET,Traffic Signal,denied,2023-02-06,2023-05-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,4,5,0,0,40.72371262222595,-73.89128557459745,data_cb5_signal_studies.csv
CQ23-0416,COOPER AVENUE,68 STREET,All-Way Stop,denied,2023-02-09,2023-05-08T00:00:00.000,Study Request Denial,,ST. PANCRAS SCHOOL,No,12,14,3,0,40.700474,-73.88344,data_cb5_signal_studies.csv
CQ23-0412,54 STREET,GRAND AVENUE,Traffic Signal,denied,2023-02-09,2023-08-28T00:00:00.000,Study Request Denial,,,No,11,15,0,0,40.718555,-73.91518,data_cb5_signal_studies.csv
CQ23-0399,77 STREET,62 AVENUE,Traffic Signal,denied,2023-02-08,2023-09-25T00:00:00.000,Study Request Denial,,,No,6,9,2,0,40.72605634929975,-73.8744731422483,data_cb5_signal_studies.csv
CQ23-0147,75 AVENUE,60 PLACE,All-Way Stop,denied,2023-01-18,2023-05-30T00:00:00.000,Study Request Denial,,LITTLE HEARTS DAYCARE,No,8,8,0,0,40.698405,-73.896663,data_cb5_signal_studies.csv
CQ23-0131B,70 STREET,CENTRAL AVENUE,Leading Pedestrian Interval,denied,2023-01-06,2023-03-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,15,15,3,1,40.704403,-73.88202,data_cb5_signal_studies.csv
CQ23-0081,PENELOPE AVENUE,72 STREET,All-Way Stop,denied,2023-01-11,2023-05-01T00:00:00.000,Study Request Denial,,PLAY AND LEARN DAYCARE & PRESCHOOL / P.S./IS 128Q THE LORRAINE TUZZO JUNIPER VALLEY ELEMENTARY SCHOOL,No,7,9,1,0,40.716187,-73.884111,data_cb5_signal_studies.csv
CQ23-0075,WOODWARD AVENUE,CATALPA AVENUE,All-Way Stop,denied,2023-01-10,2023-05-08T00:00:00.000,Study Request Denial,,ST. MATTHIAS CATHOLIC ACADEMY,No,24,28,5,0,40.702335,-73.901375,data_cb5_signal_studies.csv
CQ23-0066B,GRAND AVENUE,BORDEN AVENUE,Traffic Signal,denied,2023-01-03,2023-02-06T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,34,43,6,0,40.725635,-73.895856,data_cb5_signal_studies.csv
CQ23-0002,61 STREET,60 LANE,All-Way Stop,denied,2022-12-29,2023-05-08T00:00:00.000,Study Request Denial,,,No,22,25,6,0,40.700826,-73.894236,data_cb5_signal_studies.csv
CQ22-3590,84 STREET,63 AVENUE,All-Way Stop,denied,2022-12-13,2023-03-20T00:00:00.000,Study Request Denial,,,No,8,10,1,0,40.72349,-73.87136,data_cb5_signal_studies.csv
CQ22-3572,76 STREET,JUNIPER BOULEVARD NORTH,Traffic Signal,denied,2022-12-08,2023-08-14T00:00:00.000,Study Request Denial,,,No,3,3,1,0,40.72138,-73.88185,data_cb5_signal_studies.csv
