referencenumber,mainstreet,crossstreet1,requesttype,outcome,daterequested,statusdate,statusdescription,findings,schoolname,visionzero,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
CQ22-3568,75 PLACE,JUNIPER BOULEVARD NORTH,Traffic Signal,denied,2022-12-08,2023-06-20T00:00:00.000,Study Request Denial,,,No,13,16,3,0,40.72167925541021,-73.88396912157482,data_cb5_signal_studies.csv
CQ22-3561,69 STREET,60 ROAD,Traffic Signal,denied,2022-12-09,2023-01-17T00:00:00.000,Study Request Denial,,,No,25,32,2,0,40.72082,-73.892265,data_cb5_signal_studies.csv
CQ22-3501,69 STREET,60 AVENUE,Traffic Signal,denied,2022-11-30,2023-01-17T00:00:00.000,Study Request Denial,,,No,34,41,1,0,40.72143,-73.892746,data_cb5_signal_studies.csv
CQ22-3497B,73 AVENUE,WOODHAVEN BOULEVARD,Left Turn Arrow/Signal,denied,2022-11-29,2023-01-13T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,17,21,0,0,40.71042,-73.85964,data_cb5_signal_studies.csv
CQ22-3484B,69 STREET,BORDEN AVENUE,Leading Pedestrian Interval,denied,2022-11-29,2023-02-08T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,4,5,0,0,40.723712622225975,-73.89128557459745,data_cb5_signal_studies.csv
CQ22-3427B,COOPER AVENUE,METROPOLITAN AVENUE,Left Turn Arrow/Signal,denied,2022-11-22,2023-02-16T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,28,44,2,0,40.7122,-73.86208,data_cb5_signal_studies.csv
CQ22-3384B,MYRTLE AVENUE,CYPRESS HILLS STREET,Traffic Signal,denied,2022-11-21,2022-12-23T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,33,38,9,0,40.701103,-73.89088,data_cb5_signal_studies.csv
CQ22-3370B,78 AVENUE,80 STREET,Leading Pedestrian Interval,denied,2022-11-21,2023-03-01T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,13,16,3,0,40.705376,-73.86861,data_cb5_signal_studies.csv
CQ22-3350,62 AVENUE,56 STREET,All-Way Stop,denied,2022-11-01,2023-04-04T00:00:00.000,Study Request Denial,,MASPETH ELEMENTARY SCHOOL,No,9,10,4,0,40.714455,-73.908275,data_cb5_signal_studies.csv
CQ22-3326,CYPRESS HILLS STREET,70 AVENUE,Traffic Signal,denied,2022-11-15,2023-03-27T00:00:00.000,Study Request Denial,,,No,20,24,6,0,40.702778,-73.89457,data_cb5_signal_studies.csv
CQ22-3289,DANA COURT,84 PLACE,All-Way Stop,denied,2022-11-10,2023-04-17T00:00:00.000,Study Request Denial,,,No,8,9,3,0,40.722619,-73.869554,data_cb5_signal_studies.csv
CQ22-3244,CALDWELL AVENUE,71 STREET,Traffic Signal,denied,2022-11-03,2023-04-04T00:00:00.000,Study Request Denial,,,No,6,6,1,0,40.7249241488426,-73.89030478755059,data_cb5_signal_studies.csv
CQ22-3237,GRANDVIEW AVENUE,RENE COURT,Traffic Signal,denied,2022-11-02,2023-05-22T00:00:00.000,Study Request Denial,,GROVER CLEVELAND HIGH SCHOOL,No,17,22,2,0,40.712215,-73.91116,data_cb5_signal_studies.csv
CQ22-3213B,MYRTLE AVENUE,ST NICHOLAS AVENUE,Traffic Signal,denied,2022-10-24,2022-12-19T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,37,40,11,0,40.69984,-73.90868,data_cb5_signal_studies.csv
CQ22-3042,74 STREET,CALAMUS AVENUE,Traffic Signal,denied,2022-10-13,2023-03-14T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.73437626541044,-73.88953953143351,data_cb5_signal_studies.csv
CQ22-2925,JUNIPER VALLEY ROAD,77 PLACE,All-Way Stop,denied,2022-10-04,2023-04-24T00:00:00.000,Study Request Denial,,,No,5,6,1,0,40.71567,-73.87626,data_cb5_signal_studies.csv
CQ22-2924,JUNIPER VALLEY ROAD,79 PLACE,All-Way Stop,denied,2022-10-04,2023-05-01T00:00:00.000,Study Request Denial,,ST. MARGARET CATHOLIC ACADEMY.,No,20,25,2,0,40.71774,-73.87321,data_cb5_signal_studies.csv
CQ22-2869,78 STREET,FURMANVILLE AVENUE,All-Way Stop,denied,2022-09-29,2023-02-06T00:00:00.000,Study Request Denial,,,No,3,3,0,0,40.71745,-73.875374,data_cb5_signal_studies.csv
CQ22-2865B,ELIOT AVENUE,69 STREET,Traffic Signal,denied,2022-09-27,2023-02-06T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,38,50,12,0,40.71946,-73.89117,data_cb5_signal_studies.csv
CQ22-2724,60 STREET,60 DRIVE,All-Way Stop,denied,2022-09-14,2022-12-05T00:00:00.000,Study Request Denial,,MASPETH ELEMENTARY SCHOOL,No,8,9,5,0,40.715068,-73.905868,data_cb5_signal_studies.csv
CQ22-2698,JUNIPER VALLEY ROAD,75 STREET,All-Way Stop,denied,2022-09-14,2023-01-17T00:00:00.000,Study Request Denial,,,No,6,7,3,0,40.715482,-73.8793,data_cb5_signal_studies.csv
CQ22-2604B,METROPOLITAN AVENUE,FLUSHING AVENUE,Traffic Signal,denied,2022-09-06,2025-02-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,22,0,0,40.713295,-73.916238,data_cb5_signal_studies.csv
CQ22-2603B,METROPOLITAN AVENUE,FLUSHING AVENUE,Traffic Signal,denied,2022-09-06,2023-09-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,22,0,0,40.713295,-73.916238,data_cb5_signal_studies.csv
CQ22-2602B,METROPOLITAN AVENUE,FLUSHING AVENUE,Traffic Signal,denied,2022-09-06,2023-09-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,22,0,0,40.713295,-73.916238,data_cb5_signal_studies.csv
CQ22-2601B,METROPOLITAN AVENUE,FLUSHING AVENUE,Traffic Signal,denied,2022-09-06,2022-09-16T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,22,0,0,40.713295,-73.916238,data_cb5_signal_studies.csv
CQ22-2600B,METROPOLITAN AVENUE,FLUSHING AVENUE,Traffic Signal,denied,2022-09-06,2023-09-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,22,0,0,40.713295,-73.916238,data_cb5_signal_studies.csv
CQ22-2569,MASPETH AVENUE,MAURICE AVENUE,Traffic Signal,denied,2022-08-19,2023-08-21T00:00:00.000,Study Request Denial,,,No,5,5,0,0,40.723238,-73.91257250000001,data_cb5_signal_studies.csv
CQ22-2383B,MYRTLE AVENUE,SENECA AVENUE,Left Turn Arrow/Signal,denied,2022-08-22,2023-01-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,49,60,15,0,40.70041,-73.90368,data_cb5_signal_studies.csv
CQ22-2381B,MYRTLE AVENUE,HANCOCK STREET,Left Turn Arrow/Signal,denied,2022-08-22,2023-01-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,49,60,15,0,40.70041,-73.90368,data_cb5_signal_studies.csv
CQ22-2358,69 PLACE,CALDWELL AVENUE,Traffic Signal Removal,denied,2022-08-17,2023-03-27T00:00:00.000,Study Request Denial,,,No,14,17,2,0,40.72389,-73.892654,data_cb5_signal_studies.csv
CQ22-2347B,PALMETTO STREET,FRESH POND ROAD,Traffic Signal,denied,2022-08-15,2023-02-24T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,31,40,4,0,40.7084,-73.89801,data_cb5_signal_studies.csv
CQ22-2129,66 ROAD,78 STREET,All-Way Stop,denied,2022-07-19,2023-04-04T00:00:00.000,Study Request Denial,,,No,6,7,1,0,40.714589,-73.87529,data_cb5_signal_studies.csv
CQ22-2096,60 ROAD,59 PLACE,All-Way Stop,denied,2022-07-12,2022-10-31T00:00:00.000,Study Request Denial,,MASPETH ELEMENTARY SCHOOL,No,9,10,5,0,40.715538,-73.90725,data_cb5_signal_studies.csv
CQ22-1863B,MASPETH AVENUE,GRAND AVENUE,Traffic Signal,denied,2022-06-23,2022-09-21T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,40,42,4,0,40.7228,-73.90182,data_cb5_signal_studies.csv
CQ22-1835,78 STREET,68 AVENUE,All-Way Stop,denied,2022-06-21,2022-10-11T00:00:00.000,Study Request Denial,,,No,4,4,1,0,40.711015,-73.875355,data_cb5_signal_studies.csv
CQ22-1778,FRESH POND ROAD,67 AVENUE,Traffic Signal,denied,2022-06-14,2023-09-11T00:00:00.000,Study Request Denial,,PS 88,No,25,27,11,0,40.705765,-73.896576,data_cb5_signal_studies.csv
CQ22-1726,ELIOT AVENUE,76 STREET,Traffic Signal,denied,2022-06-07,2023-01-23T00:00:00.000,Study Request Denial,,,No,3,4,2,0,40.723136,-73.883237,data_cb5_signal_studies.csv
CQ22-1673B,ELIOT AVENUE,69 STREET,Left Turn Arrow/Signal,denied,2022-06-02,2022-09-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,38,50,12,0,40.71946,-73.89117,data_cb5_signal_studies.csv
CQ22-1605B,CYPRESS HILLS STREET,FRESH POND ROAD,Traffic Signal,denied,2022-05-27,2022-07-20T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,34,47,11,0,40.70697661724096,-73.89780783898678,data_cb5_signal_studies.csv
CQ22-1598B,AUBREY AVENUE,METROPOLITAN AVENUE,Traffic Signal,denied,2022-05-26,2022-07-20T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,66,101,4,0,40.711994,-73.86073,data_cb5_signal_studies.csv
CQ22-1551,59 ROAD,60 LANE,All-Way Stop,denied,2022-05-20,2022-10-24T00:00:00.000,Study Request Denial,,MASPETH ELEMENTARY SCHOOL,No,7,9,0,0,40.71839,-73.90417,data_cb5_signal_studies.csv
CQ22-1495,PERRY AVENUE,HAMILTON PLACE,All-Way Stop,denied,2022-05-17,2022-07-25T00:00:00.000,Study Request Denial,,,No,47,61,5,0,40.724888,-73.89899,data_cb5_signal_studies.csv
CQ22-1442,78 STREET,69 ROAD,All-Way Stop,denied,2022-05-09,2023-02-27T00:00:00.000,Study Request Denial,,,No,6,6,2,0,40.708946,-73.87451,data_cb5_signal_studies.csv
CQ22-1393B,FOREST AVENUE,SUMMERFIELD STREET,Right Turn Arrow/Signal,denied,2022-05-09,2022-09-01T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,21,25,4,0,40.69923,-73.89807,data_cb5_signal_studies.csv
CQ22-1377,84 PLACE,PENELOPE AVENUE,All-Way Stop,denied,2022-05-05,2022-09-26T00:00:00.000,Study Request Denial,,,No,9,10,3,0,40.72201,-73.86907,data_cb5_signal_studies.csv
CQ22-1320,MAZEAU STREET,QUEENS MIDTOWN EXPRESSWAY,Traffic Signal,denied,2022-04-27,2023-02-22T00:00:00.000,Study Request Denial,,,No,4,5,1,0,40.726981372775455,-73.88825085688839,data_cb5_signal_studies.csv
CQ22-1319,58 ROAD,69 LANE,Traffic Signal,denied,2022-04-27,2023-01-09T00:00:00.000,Study Request Denial,,,No,3,3,0,0,40.72583856349958,-73.89280619319487,data_cb5_signal_studies.csv
CQ22-1264B,MYRTLE AVENUE,62 STREET,Leading Pedestrian Interval,denied,2022-04-26,2022-08-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,22,26,7,0,40.70089,-73.89336,data_cb5_signal_studies.csv
CQ22-1261B,MYRTLE AVENUE,CENTRAL AVENUE,Leading Pedestrian Interval,denied,2022-04-26,2022-08-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,29,36,7,0,40.70086,-73.893845,data_cb5_signal_studies.csv
CQ22-1231,COOPER AVENUE,64 LANE,Traffic Signal,denied,2022-04-15,2023-01-09T00:00:00.000,Study Request Denial,,,No,15,17,2,0,40.698345,-73.890205,data_cb5_signal_studies.csv
CQ22-1228,69 PLACE,QUEENS MIDTOWN EXPRESSWAY,Traffic Signal,denied,2022-04-27,2023-02-06T00:00:00.000,Study Request Denial,,,No,3,3,0,0,40.72618992958762,-73.89237629589852,data_cb5_signal_studies.csv
CQ22-1173B,88 STREET,77 AVENUE,Traffic Signal,denied,2022-04-18,2023-08-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,3,5,3,0,40.7064593049998,-73.8615312271111,data_cb5_signal_studies.csv
CQ22-1154,77 AVENUE,83 STREET,All-Way Stop,denied,2022-04-13,2023-01-23T00:00:00.000,Study Request Denial,,SACRED HEART CATHOLIC ACADEMY OF GLENDALE,No,1,1,0,0,40.706649167493296,-73.866580375248,data_cb5_signal_studies.csv
CQ22-1153,77 AVENUE,82 STREET,All-Way Stop,denied,2022-04-13,2022-12-27T00:00:00.000,Study Request Denial,,SACRED HEART SCHOOL,No,1,1,0,0,40.7066414632302,-73.86703845623569,data_cb5_signal_studies.csv
CQ22-1152,77 AVENUE,87 STREET,All-Way Stop,denied,2022-04-13,2023-01-09T00:00:00.000,Study Request Denial,,P.S./I.S 113 ANTHONY PRANZO,No,2,2,0,0,40.706707926767,-73.86286162702419,data_cb5_signal_studies.csv
CQ22-1151,77 AVENUE,86 STREET,All-Way Stop,denied,2022-04-13,2022-12-27T00:00:00.000,Study Request Denial,,SACRED HEART SCHOOL,No,1,1,0,0,40.706685,-73.86426799999998,data_cb5_signal_studies.csv
CQ22-1150,77 AVENUE,85 STREET,All-Way Stop,denied,2022-04-13,2022-06-06T00:00:00.000,Study Request Denial,,SACRED HEART CATHOLIC ACADEMY,No,1,1,0,0,40.706685,-73.86426799999998,data_cb5_signal_studies.csv
CQ22-1149,77 AVENUE,81 STREET,All-Way Stop,denied,2022-04-13,2023-01-17T00:00:00.000,Study Request Denial,,SACRED HEART CATHOLIC ACADEMY OF GLENDALE,No,11,11,4,0,40.7066131053992,-73.8686363313541,data_cb5_signal_studies.csv
CQ22-1141,JUNIPER BOULEVARD NORTH,76 STREET,All-Way Stop,denied,2022-04-12,2023-07-17T00:00:00.000,Study Request Denial,,,No,3,3,1,0,40.72138,-73.88185,data_cb5_signal_studies.csv
CQ22-1132,VERMONT PLACE,CYPRESS AVENUE,Traffic Signal,denied,2022-03-09,2023-11-20T00:00:00.000,Study Request Denial,,,No,52,75,1,0,40.691433,-73.89063,data_cb5_signal_studies.csv
CQ22-1103,QUEENS MIDTOWN EXPRESSWAY,73 PLACE,Traffic Signal,denied,2022-04-05,2023-01-09T00:00:00.000,Study Request Denial,,MASPETH HIGH SCHOOL,No,4,6,2,0,40.7271691486146,-73.88727206550593,data_cb5_signal_studies.csv
CQ22-1088,WYCKOFF AVENUE,MADISON STREET,Traffic Signal,denied,2022-04-08,2022-07-25T00:00:00.000,Study Request Denial,,,No,15,15,5,0,40.698677,-73.90954,data_cb5_signal_studies.csv
CQ22-1051B,MYRTLE AVENUE,64 STREET,Leading Pedestrian Interval,denied,2022-04-07,2022-12-08T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,37,44,11,0,40.700964,-73.89245299999999,data_cb5_signal_studies.csv
CQ22-0961,57 AVENUE,74 STREET,Traffic Signal,denied,2022-03-24,2022-10-11T00:00:00.000,Study Request Denial,,MASPETH HIGH SCHOOL,No,9,10,4,0,40.72861,-73.88721,data_cb5_signal_studies.csv
CQ22-0657,69 STREET,60 DRIVE,Traffic Signal,denied,2022-03-04,2022-10-04T00:00:00.000,Study Request Denial,,,No,31,39,9,0,40.72021,-73.89178,data_cb5_signal_studies.csv
CQ22-0656,69 STREET,59 ROAD,Traffic Signal,denied,2022-03-04,2022-09-13T00:00:00.000,Study Request Denial,,,No,20,25,2,0,40.722622,-73.89368,data_cb5_signal_studies.csv
CQ22-0504,COOPER AVENUE,65 PLACE,Traffic Signal,denied,2022-02-18,2022-10-31T00:00:00.000,Study Request Denial,,,No,11,13,2,0,40.699539,-73.888615,data_cb5_signal_studies.csv
CQ22-0486B,COOPER AVENUE,WOODHAVEN BOULEVARD,Leading Pedestrian Interval,denied,2022-02-17,2022-03-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,25,41,1,0,40.713057975976746,-73.86204125524468,data_cb5_signal_studies.csv
CQ22-0485B,COOPER AVENUE,CYPRESS HILLS STREET,Leading Pedestrian Interval,denied,2022-02-17,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,14,19,1,0,40.698882550838,-73.8882054375238,data_cb5_signal_studies.csv
CQ22-0484B,COOPER AVENUE,METROPOLITAN AVENUE,Leading Pedestrian Interval,denied,2022-02-17,2023-07-19T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,28,44,2,0,40.7122,-73.86208,data_cb5_signal_studies.csv
CQ22-0482,FLUSHING AVENUE,58 DRIVE,Traffic Signal,denied,2022-02-16,2023-01-23T00:00:00.000,Study Request Denial,,,No,10,15,2,0,40.719711,-73.908257,data_cb5_signal_studies.csv
CQ22-0479B,COOPER AVENUE,83 STREET,Leading Pedestrian Interval,denied,2022-02-17,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,12,16,3,1,40.7104,-73.866625,data_cb5_signal_studies.csv
CQ22-0475B,73 PLACE,COOPER AVENUE,Leading Pedestrian Interval,denied,2022-02-17,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,12,16,4,0,40.70547251451677,-73.87649615255108,data_cb5_signal_studies.csv
CQ22-0474B,COOPER AVENUE,66 STREET,Leading Pedestrian Interval,denied,2022-02-17,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,4,4,0,0,40.699678,-73.887714,data_cb5_signal_studies.csv
CQ22-0473B,COOPER AVENUE,64 STREET,Leading Pedestrian Interval,denied,2022-02-17,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,15,22,2,0,40.697933,-73.892006,data_cb5_signal_studies.csv
CQ22-0471B,COOPER AVENUE,72 STREET,Leading Pedestrian Interval,denied,2022-02-17,2022-04-06T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,21,29,3,0,40.70307,-73.87864,data_cb5_signal_studies.csv
CQ22-0469B,COOPER AVENUE,70 STREET,Leading Pedestrian Interval,denied,2022-02-17,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,29,35,11,0,40.70171,-73.88091,data_cb5_signal_studies.csv
CQ22-0468B,COOPER AVENUE,67 STREET,Leading Pedestrian Interval,denied,2022-02-17,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,5,7,0,0,40.699963,-73.88585,data_cb5_signal_studies.csv
CQ22-0455,60 AVENUE,60 LANE,Traffic Signal,denied,2022-02-16,2023-01-23T00:00:00.000,Study Request Denial,,PS 153,No,5,7,1,0,40.716746,-73.903698,data_cb5_signal_studies.csv
CQ22-0452,62 AVENUE,69 PLACE,Traffic Signal,denied,2022-02-16,2023-02-13T00:00:00.000,Study Request Denial,,,No,4,7,2,0,40.718254,-73.8881475,data_cb5_signal_studies.csv
CQ22-0451,MYRTLE AVENUE,61 STREET,Traffic Signal,denied,2022-02-16,2022-10-31T00:00:00.000,Study Request Denial,,,No,22,25,6,0,40.700826,-73.894236,data_cb5_signal_studies.csv
CQ22-0432B,COOPER AVENUE,CYPRESS AVENUE,Leading Pedestrian Interval,denied,2022-02-15,2022-03-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,55,70,12,0,40.694107,-73.89737,data_cb5_signal_studies.csv
CQ22-0405,68 AVENUE,80 STREET,Traffic Signal,denied,2022-02-10,2022-05-25T00:00:00.000,Study Request Denial,,PS 87,No,11,16,2,0,40.711246,-73.87095,data_cb5_signal_studies.csv
CQ22-0262,70 AVENUE,65 PLACE,Traffic Signal,denied,2022-02-02,2022-09-26T00:00:00.000,Study Request Denial,,,No,8,9,0,0,40.703968,-73.89041,data_cb5_signal_studies.csv
CQ22-0247,MYRTLE AVENUE,81 STREET,Traffic Signal,denied,2022-02-01,2022-08-22T00:00:00.000,Study Request Denial,,,No,11,13,3,0,40.7030515,-73.867253,data_cb5_signal_studies.csv
CQ22-0217,79 STREET,78 AVENUE,All-Way Stop,denied,2022-01-28,2022-10-24T00:00:00.000,Study Request Denial,,PS / IS 119 THE GLENDALE SCHOOL,No,4,6,0,0,40.704704,-73.87154,data_cb5_signal_studies.csv
CQ22-0173B,FRESH POND ROAD,METROPOLITAN AVENUE,Left Turn Arrow/Signal,denied,2022-01-26,2023-08-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,57,64,17,0,40.712696,-73.900604,data_cb5_signal_studies.csv
CQ22-0051B,PENELOPE AVENUE,80 STREET,Traffic Signal,denied,2022-01-10,2022-02-24T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,27,2,0,40.719395,-73.87471,data_cb5_signal_studies.csv
CQ22-0035B,METROPOLITAN AVENUE,65 PLACE,Leading Pedestrian Interval,denied,2022-01-10,2022-02-23T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,17,19,1,0,40.71248,-73.895035,data_cb5_signal_studies.csv
CQ21-3127,63 STREET,59 DRIVE,All-Way Stop,denied,2021-12-17,2023-07-31T00:00:00.000,Study Request Denial,,,No,4,5,0,0,40.719547,-73.90154,data_cb5_signal_studies.csv
CQ21-3126,63 STREET,59 AVENUE,All-Way Stop,denied,2021-12-16,2022-09-26T00:00:00.000,Study Request Denial,,,No,6,7,0,0,40.719692,-73.90158,data_cb5_signal_studies.csv
CQ21-3036B,ELIOT AVENUE,71 STREET,Traffic Signal,denied,2021-12-06,2022-01-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,8,13,1,0,40.72128,-73.887245,data_cb5_signal_studies.csv
CQ21-2955,CORNELIA STREET,FOREST AVENUE,Traffic Signal,denied,2021-11-23,2022-08-01T00:00:00.000,Study Request Denial,,,No,22,27,6,0,40.70405,-73.90168,data_cb5_signal_studies.csv
